,,ALL .csv support tokens couldn’t be processed inbatched at a time due to api free tier quota limits.  SO it includestickets from corpus and from single mode in batch mode,,,,,
sequence_order,ticket_id,timestamp,status,product_area,response,justification,request_type
2,T002,2026-05-01T22:49:44.171350,replied,Test score dispute and review,"We understand you have concerns about your test score and would like your answers reviewed. Unfortunately, we are unable to review individual test answers or adjust scores.

For issues related to test integrity or scoring, please contact support@hackerrank.com. They will be able to assist you further.",Classified as HackerRank issue in Test score dispute and review. Intent: The user wants their HackerRank test score reviewed and increased due to perceived unfair grading.. Relevant KB found with confidence 0.613.,feature_request
3,T003,2026-05-01T22:49:56.771965,escalated,Transaction dispute and refund,Thank you for reaching out. Your request has been flagged for priority review by our specialist team. A support representative will contact you shortly to assist with this matter.,Escalated due to: High-risk keyword: 'refund',feature_request
4,T004,2026-05-01T22:50:27.385788,escalated,General,Thank you for reaching out. Your request has been flagged for priority review by our specialist team. A support representative will contact you shortly to assist with this matter.,Escalated due to: High-risk keyword: 'refund',bug
5,T005,2026-05-01T22:50:44.485840,escalated,Payment issue and refund request,Thank you for reaching out. Your request has been flagged for priority review by our specialist team. A support representative will contact you shortly to assist with this matter.,Escalated due to: High-risk keyword: 'give me my money',bug
6,T006,2026-05-01T22:51:15.090344,replied,Hiring infosec process support,"I understand you're looking for assistance with integrating HackerRank into your company's infosec process, specifically with filling out forms.

HackerRank offers a feature called QuickApply that can help automate this process. QuickApply extracts key details from your HackerRank profile, such as personal information, work experience, education, and skills, to populate job application forms.

Currently, QuickApply supports applications powered by Avature, Greenhouse, Oracle, SmartRecruiters, Workable, and Workday.

If your company uses one of these Applicant Tracking Systems, QuickApply might be able to assist with your form-filling needs.",Classified as HackerRank issue in Hiring infosec process support. Intent: The user wants assistance with their company's information security process for HackerRank hiring.. Relevant KB found with confidence 0.710.,feature_request
7,T007,2026-05-01T22:51:44.867141,replied,Practice submissions and apply tab,"Hello!

It sounds like you're having trouble with submissions and accessing certain features.

If you're not seeing your challenge results, please wait for them to process, as they usually appear shortly after submission. Once evaluated, you can find your points, badges, and rank in the upper-right corner of the challenge page. You may also want to check the leaderboard, as it can take time to refresh.

Regarding the ""Apply"" tab, I couldn't find information about this specific tab in the provided documentation. However, if you're looking to practice coding challenges, you can access them through the platform.

If you continue to experience issues with submissions, please try closing and reopening the challenge window, or attempting it in a different supported browser like Chrome, Firefox, or Edge. Ensuring a stable internet connection is also important.",Classified as HackerRank issue in Practice submissions and apply tab. Intent: The user is unable to submit practice problems and cannot see the apply tab.. Relevant KB found with confidence 0.478.,bug
8,T008,2026-05-01T22:52:06.840108,replied,Submission system across challenges,"We're sorry to hear you're experiencing issues with submitting your challenges.

If you're encountering problems, please try the following:
1. Close the challenge window and reopen it using the same challenge link.
2. Try opening the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge.
3. Ensure your internet connection is stable.

If you are still facing issues, please refer to the FAQ or contact HackerRank support at support@hackerrank.com.",Classified as HackerRank issue in Submission system across challenges. Intent: User is experiencing issues with submissions not working on the HackerRank website.. Relevant KB found with confidence 0.684.,bug
9,T009,2026-05-01T22:52:27.488992,replied,Compatibility check error,"I understand you're experiencing an issue with the compatibility check, specifically with Zoom connectivity, and it's preventing you from taking the test.

To address this, please ensure you are sitting in a well-lit area and facing straight at the camera if it's a proctored test. You can also check your network coverage before taking the test by using the provided Internet compatibility check link.

If you continue to face issues after these steps, please reach out to the appropriate team for further assistance.",Classified as Unknown issue in Compatibility check error. Intent: User wants to resolve a blocker in the compatible check due to zoom connectivity issues.. Relevant KB found with confidence 0.510.,bug
10,T010,2026-05-01T22:52:50.375287,replied,Assessment rescheduling request,"Thank you for reaching out. To reschedule an interview, you will need to log in to your HackerRank for Work account using your credentials. Then, navigate to the ""Interviews"" section.

When you reschedule, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time. Please ensure that the interview has not yet been conducted to be eligible for rescheduling.

I am unable to directly reschedule your assessment. For assistance with specific technical issues or if you encounter any problems during the rescheduling process, please contact the HackerRank Solution Engineering team.",Classified as HackerRank issue in Assessment rescheduling request. Intent: User wants to reschedule their HackerRank assessment due to unforeseen circumstances.. Relevant KB found with confidence 0.652.,feature_request
